,日期,天气,风力风向,最低温温度,最高温温度
0,2013-01-01,多云  ,无持续风向 ≤3级  ,6,16
1,2013-01-02,多云  ,无持续风向 ≤3级  ,9,18
2,2013-01-03,阴  ,北风 3-4级  ,5,14
3,2013-01-04,多云  ,北风 3-4级  ,5,12
4,2013-01-05,多云  ,无持续风向 ≤3级  ,5,13
5,2013-01-06,阴  ,无持续风向 ≤3级  ,6,13
6,2013-01-07,多云  ,无持续风向 ≤3级  ,8,14
7,2013-01-08,多云  ,无持续风向 ≤3级  ,8,16
8,2013-01-09,阴  ,北风 3-4级  ,6,14
9,2013-01-10,多云  ,无持续风向 ≤3级  ,8,16
10,2013-01-11,阴  ,无持续风向 ≤3级  ,9,17
11,2013-01-12,阴  ,无持续风向 ≤3级  ,11,16
12,2013-01-13,多云  ,无持续风向 ≤3级  ,7,21
13,2013-01-14,晴  ,无持续风向 ≤3级  ,7,18
14,2013-01-15,晴  ,无持续风向 ≤3级  ,9,20
15,2013-01-16,晴  ,无持续风向 ≤3级  ,11,21
16,2013-01-17,多云  ,北风 3-4级  ,7,20
17,2013-01-18,阴  ,无持续风向 ≤3级  ,5,15
18,2013-01-19,多云  ,无持续风向 ≤3级  ,11,18
19,2013-01-20,多云  ,无持续风向 ≤3级  ,14,21
20,2013-01-21,阴  ,无持续风向 ≤3级  ,15,20
21,2013-01-22,阴  ,无持续风向 ≤3级  ,11,21
22,2013-01-23,多云  ,无持续风向 ≤3级  ,12,24
23,2013-01-24,多云  ,无持续风向 ≤3级  ,12,24
24,2013-01-25,多云  ,无持续风向 ≤3级  ,9,20
25,2013-01-26,多云  ,无持续风向 ≤3级  ,11,21
26,2013-01-27,多云  ,无持续风向 ≤3级  ,7,24
27,2013-01-28,多云  ,无持续风向 ≤3级  ,12,23
28,2013-01-29,多云  ,无持续风向 ≤3级  ,11,22
29,2013-01-30,多云  ,无持续风向 ≤3级  ,12,23
30,2013-01-31,多云  ,无持续风向 ≤3级  ,13,24
